Disease,S1,S2,S3,S4,S5,S6
Del (2) (p22-p21),Holoprosencephaly,Cleft palate,Failed corpus callosum development,Cleft lips,Kidney anomalies,
2q22-q24 deletion,Low birth weight,Cleft palate,Great vessel abnormalities,Small jaw,Small facial features,
Ablinism i syndrome,Pigmented nevi,Gray eyes,White hairs,Blue eyes,Myopia,Pink or reddish skin
Ventricular familial preexcitation syndrome,Nausea,Dizziness,Palpitations,Mental changes,Rales,Chest pain
Abdominal chemodectomas with cutaneous angiolipomas,Abdominal discomfort,Abdominal swelling,Abdominal pain,Swelling of legs,Intestinal obstruction,
Peeling skin syndrome,New hairs easily plucked,Thickening of skin on palms,Thickening of skin on soles,Skin shedding,Itching,
Skier's thumb,Pain at base of thumb,Swelling at base of thumb,Difficulty gripping objects,Bruising at base of thumb,,
"46,xy gonadal dysgenesis, complete or partial, with or without adrenal failure",Partially developed mullerian structues - complete failure of gonad development,Partially developed wolffian structures - complete failure of gonad development,Streak gonads - complete failure of gonad development,Normal female external genitals - complete failure of gonad development,Normal mullerian structures - complete failure of gonad development,Ambiguous external genitals - partial failure of gonad development
Abdominal aneurysm,Upper abdominal and back pain,Collapse,Light headedness,Pulsatile lump in abdomen,Confusion,Cold hands and feet
Abdominal injuries,Nausea,Abdominal bruising,Abdominal pain,Ruptured organs,Abdominal bleeding,
Accommodative effort,Hyperopia,Eye fatigue when using near vision,Blurry vision when using near vision,Presbyopia,Accommodative paralysis,
"Cerebral hemorrhage with amyloidosis, hereditary, dutch type",Impaired memory,Mental changes,Dementia,Impaired consciousness,Headaches,Brain infarction
Abderhalden-kaufmann-lignac syndrome,Low blood potassium level,Osteoporosis,Cysteine deposits in conjunctiva of eye,Cysteine deposits in cornea,Dwarfism,Renal tubular disease
Acne,Whiteheads,Pustules,Cysts,Pimples,,
Acute appendicitis,Nausea,Bad breath,Loss of appetite,Inability to pass gas,Constipations,Diarrhea
Demodicidosis,Itchy,Persistent skin follicle eruption,Skin bumps,Skin nodules,,
Acrocapitofemoral dysplasia,Short statures,Short fingers,Cone-shaped epiphyses - mainly in hands and hips,Short limbs,Narrow chest,
Acanthocheilonemiasis,Headaches,Joint swelling,Pruritus,Cold legs,,
Acrodysplasia scoliosis,Short fingers,Short toes,Short feet,Scoliosis,Vertebral segmentation anomaly,Spina bifida occulta
Abdominal hernia,Abdominal swelling,Abdominal pain,Fever,Obstipation,,
Dejerine-roussy syndrome,Thalamic hyperpathia,Emotional overreaction,Speaking difficulty,Choreoathetoid movements,Loss of sensation on one side of body,Hemiataxia
Deafness -- enamel hypoplasia -- nail defects,Nail defects,White patches on fingernails,Thin enamel on secondary teeth,Transverse ridges on toenails,Sensorineural hearing loss,
Achromatopsia type 2,Sensitivity to light,Absence of photopic flicker,Undulatory nystagmus,Head posture against strong light,Loss of visual acuity,Pendular nystagmus
Achromatopsia with myopia,Sensitivity to light,Myopia,Amaurosis,Total inability to distinguish colors - colorblindness,Cataract,Congenital complete achromatopsia
Acomoclitic,Abnormal amount of time spent thinking about hairless genitals,Recurring intense sexual fantasies involving hairless genitals,Recurring intense sexual urges involving hairless genitals,Sexual interest in hairless genitals,,
Acousticophilia,Abnormal amount of time spent thinking about certain sounds,Recurring intense sexual fantasies involving certain sounds,Recurring intense sexual urges involving certain sounds,Sexual interest in certain sounds,Sexual preference for certain sounds,
Acousticophobia,Anxiety,Extreme measures taken to avoid,Trembling,Feeling of panic,Feeling of terror,Shortness of breath
Actinic prurigo,Nausea,Itchy skin rash,Headaches,Chills,Bumpy skin rash,Malaise
Acute interstitial pneumonia,Low grade fever,Dry cough,Persistent unwell feeling,Shortness of breath,,
Acute (or transient) urinary incontinence,Sneezing,Engaging in other physical activity,Standing,Exercising,Coughing,
Acrocephalopolydactyly,Extra digits,Facial anomalies,Swelling of the brain (hydrocephalus),Limb abnormalities,Abnormal skull shape,
Crossed polysyndactyly,Extra finger beside little finger,Webbed toes,Webbed fingers,Duplicated big toe,Broad big toes,
Gamstorp-wohlfart syndrome,Muscle wasting,Myotinia,Increased sweating,Muscle twitching,,
Adactylia unilateral dominant,Thin nails,Absent end portions of fingers on one hand,Underdeveloped fingernails,Hyperconvex fingernails,Hand bone anomalies,Underdeveloped thumbs
Acquired prothrombin complex deficiency,Bleeding,Frequent hemorrhages inside skull,Liver enlargement,Pallor,,
Universal acquired melanosis,Sparse scalp hair,Broad cheeks,Bulbous nose,Mental retardation,External female genital anomalies,Long nose
Absent abdominal musculature with microphthalmia and joint laxity,Lack of abdominal muscles,Loose joints,Facial anomalies,Small eyes,,
Acute peripheral arterial occlusion,Paresthesia,Severe pain,Blue skin in affect limb,Lack of pulse in an extremity,Loss of sensation,Paleness in an extremity
Amblyopia,Reduced sensitivity to contrast,Poor vision in one eye,Reduced sensitivity to motion,Impaired depth perception,,
"Achromatopsia incomplete, x-linked",Sensitivity to light,Impaired color vision,Myopia,Blue color blindness,Reduced visual acuity,Nystagmus
